title,placeUrl,website,status,subtitle,rating,reviewCount,category,address,phoneNumber,searchQuery
Laundromatic NYC,https://www.google.com/maps/place/Laundromatic+NYC/data=!4m7!3m6!1s0x89c25b87020fa657:0x4c948743bc82e3c!8m2!3d40.6768!4d-73.938886!16s%2Fg%2F11g6xtsdll!19sChIJV6YPAodbwokRPC7IO3RIyQQ,https://laundromaticnyc.com/,,,4.4,154,Laundromat,"108 Albany Ave, Brooklyn, NY 11213, United States",+1 917-822-4849,small laundry in upstate new york
Chrisler Laundromat,https://www.google.com/maps/place/Chrisler+Laundromat/data=!4m7!3m6!1s0x89de71f0a21bafaf:0xed12fe403e6da577!8m2!3d42.7955984!4d-73.943396!16s%2Fg%2F125_vw27p!19sChIJr68bovBx3okRd6VtPkD-Eu0,https://m.facebook.com/pages/category/Laundromat/Chrisler-Laundromat-106240928038168/,,,4.3,95,Laundromat,"1209 Chrisler Ave, Schenectady, NY 12303, United States",+1 518-393-0101,small laundry in upstate new york
Grandma Laundromat,https://www.google.com/maps/place/Grandma+Laundromat/data=!4m7!3m6!1s0x89c25b40e3e9803b:0x6a9281e92ccc9365!8m2!3d40.7160224!4d-73.992395!16s%2Fg%2F11h7fntd7_!19sChIJO4Dp40BbwokRZZPMLOmBkmo,,No website found,,4.4,13,Laundromat,"35 Allen St, New York, NY 10002, United States",+1 212-966-0285,small laundry in upstate new york
Delancey Laundromat,https://www.google.com/maps/place/Delancey+Laundromat/data=!4m7!3m6!1s0x89c2598636100925:0xd8956ab5926fc3bd!8m2!3d40.7198526!4d-73.9933343!16s%2Fg%2F11cm0914rz!19sChIJJQkQNoZZwokRvcNvkrVqldg,,No website found,,4.6,66,Laundromat,"9-11 Delancey St, New York, NY 10002, United States",+1 917-912-9899,small laundry in upstate new york
Laverie,https://www.google.com/maps/place/Laverie/data=!4m7!3m6!1s0x89c2598deec383d5:0x8fb45f953578cea!8m2!3d40.7271621!4d-74.0016857!16s%2Fg%2F1tj6vr76!19sChIJ1YPD7o1ZwokR6oxXU_lF-wg,https://www.laveriesoho.com/,,,4.5,272,Laundromat,"149 Sullivan St, New York, NY 10012, United States",+1 212-228-1805,small laundry in upstate new york
Brown Bag Laundry,https://www.google.com/maps/place/Brown+Bag+Laundry/data=!4m7!3m6!1s0x89c2598fc506b78d:0x15ab1ebc784d04b3!8m2!3d40.7266024!4d-73.996582!16s%2Fg%2F1tsbn0r8!19sChIJjbcGxY9ZwokRswRNeLweqxU,http://brownbaglaundry.com/,,,4.5,53,Laundry service,"208 Mercer St, New York, NY 10012, United States",+1 212-505-2440,small laundry in upstate new york
Todd Layne Cleaners & Laundromat,https://www.google.com/maps/place/Todd+Layne+Cleaners+%26+Laundromat/data=!4m7!3m6!1s0x89c258bf9f368f43:0xe996eab7a93cef44!8m2!3d40.7722664!4d-73.9568967!16s%2Fg%2F1tfh5kvm!19sChIJQ482n79YwokRRO88qbfqluk,http://www.toddlaynecleaners.com/,,,4.3,102,Laundry service,"242 E 77th St, New York, NY 10075, United States",+1 646-661-4777,small laundry in upstate new york
Lav Express Laundry,https://www.google.com/maps/place/Lav+Express+Laundry/data=!4m7!3m6!1s0x89c25ea006b18605:0xd52a107c8b0eafa9!8m2!3d40.7057462!4d-73.9128525!16s%2Fg%2F1tgdpgtw!19sChIJBYaxBqBewokRqa8Oi3wQKtU,http://lavexpress.com/,,,4.2,153,Laundromat,"476 Seneca Ave, Queens, NY 11385, United States",+1 718-456-9194,small laundry in upstate new york
P & K Laundromat,https://www.google.com/maps/place/P+%26+K+Laundromat/data=!4m7!3m6!1s0x89c2588604f7ae1d:0x3e19d0b0d8ebf605!8m2!3d40.7843887!4d-73.9776444!16s%2Fg%2F1tdp5z2_!19sChIJHa73BIZYwokRBfbr2LDQGT4,https://cleanly.com/nyc/laundromats-upper-west-side/,,,4.5,92,Laundromat,"432 Amsterdam Ave, New York, NY 10024, United States",+1 212-799-2796,small laundry in upstate new york
Madison Supreme Laundromat,https://www.google.com/maps/place/Madison+Supreme+Laundromat/data=!4m7!3m6!1s0x89c25a25dc5ddcb1:0x5a511b908424267f!8m2!3d40.7120159!4d-73.9964435!16s%2Fg%2F1tcxf3cc!19sChIJsdxd3CVawokRfyYkhJAbUVo,,No website found,,4.3,136,Laundromat,"80 Madison St, New York, NY 10002, United States",+1 212-732-9168,small laundry in upstate new york
The Laundry Hub,https://www.google.com/maps/place/The+Laundry+Hub/data=!4m7!3m6!1s0x89c25b4e59597ae7:0x3ec5129a556434f2!8m2!3d40.6918678!4d-73.942871!16s%2Fg%2F11j0v89dlt!19sChIJ53pZWU5bwokR8jRkVZoSxT4,,No website found,,4.4,101,Laundromat,"360 Throop Ave, Brooklyn, NY 11221, United States",+1 845-684-3185,small laundry in upstate new york
Load Laundromat,https://www.google.com/maps/place/Load+Laundromat/data=!4m7!3m6!1s0x89c25976a5596af3:0xd73a0c0be7aca191!8m2!3d40.7291!4d-73.9778784!16s%2Fg%2F11csb43wfh!19sChIJ82pZpXZZwokRkaGs5wsMOtc,https://www.loadlaundromat.com/,,,4.4,166,Laundry service,"602 E 14th St, New York, NY 10009, United States",+1 917-265-8226,small laundry in upstate new york
ALL FRESH LAUNDRY & CLEANERS,https://www.google.com/maps/place/ALL+FRESH+LAUNDRY+%26+CLEANERS/data=!4m7!3m6!1s0x89c2f624a102e141:0x9993ed6399f5aa7e!8m2!3d40.8009407!4d-73.9656177!16s%2Fg%2F1tgcy_9k!19sChIJQeECoST2wokRfqr1mWPtk5k,,No website found,,4.7,26,Laundromat,"944 Amsterdam Ave, New York, NY 10025, United States",+1 212-371-2334,small laundry in upstate new york
Miss Bubble Laundromat,https://www.google.com/maps/place/Miss+Bubble+Laundromat/data=!4m7!3m6!1s0x89c2f77b73f42d7d:0xd2e7290728e0c705!8m2!3d40.7994024!4d-73.9677821!16s%2Fg%2F1tdqpl4k!19sChIJfS30c3v3wokRBcfgKAcp59I,http://www.msbubblegreen.com/,,,4.2,81,Laundromat,"224 W 104th St, New York, NY 10025, United States",+1 917-675-6427,small laundry in upstate new york
Min81 Laundromat,https://www.google.com/maps/place/Min81+Laundromat/data=!4m7!3m6!1s0x89c25a2843b69fe1:0x32b257cac5d6ec39!8m2!3d40.715403!4d-73.992991!16s%2Fg%2F1tvw5vmg!19sChIJ4Z-2QyhawokROezWxcpXsjI,,No website found,,4.1,27,Laundromat,"81 Canal St, New York, NY 10002, United States",+1 917-607-8808,small laundry in upstate new york
Gentle Wash Laundromat,https://www.google.com/maps/place/Gentle+Wash+Laundromat/data=!4m7!3m6!1s0x89c2599d4cef0393:0x18713aa67319a072!8m2!3d40.7256869!4d-73.9839901!16s%2Fg%2F1260pwb0c!19sChIJkwPvTJ1ZwokRcqAZc6Y6cRg,http://www.gentlewashlaundry.com/,,,4.7,220,Laundromat,"97 Avenue A, New York, NY 10009, United States",+1 212-673-6886,small laundry in upstate new york
G & M Laundromat,https://www.google.com/maps/place/G+%26+M+Laundromat/data=!4m7!3m6!1s0x89c2599e0c2ba18b:0x92ccd1d9069a77b5!8m2!3d40.7310186!4d-73.9841603!16s%2Fg%2F11b7l8f8pl!19sChIJi6ErDJ5ZwokRtXeaBtnRzJI,,No website found,,4.5,37,Laundry,"336 E 13th St, New York, NY 10003, United States",+1 212-505-7288,small laundry in upstate new york
Super 1665 Laundromat Inc,https://www.google.com/maps/place/Super+1665+Laundromat+Inc/data=!4m7!3m6!1s0x89c258ba8bcd72a5:0x5f4dad27a1bc9bc4!8m2!3d40.7775028!4d-73.9492171!16s%2Fg%2F1w3w3yqs!19sChIJpXLNi7pYwokRxJu8oSetTV8,,No website found,,4.5,19,Laundromat,"1665 1st Ave. #1, New York, NY 10028, United States",+1 212-410-7549,small laundry in upstate new york
C U Launderette Inc,https://www.google.com/maps/place/C+U+Launderette+Inc/data=!4m7!3m6!1s0x89c25861fac60569:0x9ab2491d2a0c436e!8m2!3d40.7791774!4d-73.9836409!16s%2Fg%2F1thfgbyl!19sChIJaQXG-mFYwokRbkMMKh1Jspo,,No website found,,4.6,17,Laundromat,"244 W 72nd St, New York, NY 10023, United States",+1 212-724-6505,small laundry in upstate new york
NEW Tian Tian Laundromat,https://www.google.com/maps/place/NEW+Tian+Tian+Laundromat/data=!4m7!3m6!1s0x89c25986c0b99ae7:0x45190817be89ab2b!8m2!3d40.720316!4d-73.9900845!16s%2Fg%2F1tfzhpgn!19sChIJ55q5wIZZwokRK6uJvhcIGUU,,No website found,,4.3,56,Laundromat,"137 Allen St #1, New York, NY 10002, United States",+1 646-998-4032,small laundry in upstate new york
Clean N’ Green Laundry,https://www.google.com/maps/place/Clean+N%E2%80%99+Green+Laundry/data=!4m7!3m6!1s0x89c25afcae3ea6c9:0x8aa9a98149d47fc7!8m2!3d40.645244!4d-73.9449976!16s%2Fg%2F1vcq8hyq!19sChIJyaY-rvxawokRx3_USYGpqYo,http://www.cleanngreenlaundry.com/,,,4.7,154,Laundry service,,+1 347-725-0404,small laundry in upstate new york
Washit,https://www.google.com/maps/place/Washit/data=!4m7!3m6!1s0x89c25b449d781819:0x83ac23cb4aee031e!8m2!3d40.6415104!4d-73.9633832!16s%2Fg%2F11h1djzxhg!19sChIJGRh4nURbwokRHgPuSssjrIM,http://www.washit.nyc/,,,3.8,169,Laundry service,"1600 Cortelyou Rd, Brooklyn, NY 11226, United States",+1 718-484-3931,small laundry in upstate new york
Plan452 Laundromat & Dry Cleaner “ Laundry Club “,https://www.google.com/maps/place/Plan452+Laundromat+%26+Dry+Cleaner+%E2%80%9C+Laundry+Club+%E2%80%9C/data=!4m7!3m6!1s0x89c259156b7776ed:0xb202b61bb3b677c1!8m2!3d40.7541003!4d-73.995422!16s%2Fg%2F11ckfqmq0l!19sChIJ7XZ3axVZwokRwXe2sxu2ArI,https://www.laundryclubnyc.com/,,,4.2,161,Laundry service,"452 9th Ave Suite 4, New York, NY 10018, United States",+1 212-594-8897,small laundry in upstate new york
On The Go Cleaners,https://www.google.com/maps/place/On+The+Go+Cleaners/data=!4m7!3m6!1s0x89c2590942b8eb0d:0xcfeb33185190db36!8m2!3d40.7551235!4d-73.965973!16s%2Fg%2F11dxswydq2!19sChIJDeu4QglZwokRNtuQURgz688,https://www.onthegocleaners.com/,,,4.8,28,Laundry service,,+1 212-668-4346,small laundry in upstate new york
La La Laundry,https://www.google.com/maps/place/La+La+Laundry/data=!4m7!3m6!1s0x89c259a596385623:0x4b7198e114938a1f!8m2!3d40.727683!4d-73.9795454!16s%2Fg%2F11hzn3ywcn!19sChIJI1Y4lqVZwokRH4qTFOGYcUs,http://www.lalalaundryny.com/,,,4.5,151,Laundry,"180 Avenue B, New York, NY 10009, United States",+1 212-529-8886,small laundry in upstate new york
New York Laundromat Exchange (NYLaundromats.com),https://www.google.com/maps/place/New+York+Laundromat+Exchange+%28NYLaundromats.com%29/data=!4m7!3m6!1s0x89c2626e61d2a0dd:0x952abaadd584e61f!8m2!3d40.7441573!4d-73.7170041!16s%2Fg%2F1tdq217v!19sChIJ3aDSYW5iwokRH-aE1a26KpU,http://www.nylaundromats.com/,,,4.9,56,Laundromat,"253-16 Union Tpke, Queens, NY 11004, United States",+1 718-831-0111,small laundry in upstate new york
Nyc Family Laundromat,https://www.google.com/maps/place/Nyc+Family+Laundromat/data=!4m7!3m6!1s0x89c2f407dd5ed64b:0xa62dc033651a9e58!8m2!3d40.8642845!4d-73.9251098!16s%2Fg%2F1th1v_5f!19sChIJS9Ze3Qf0wokRWJ4aZTPALaY,,No website found,,4.4,28,Laundromat,"110 Sherman Ave, New York, NY 10034, United States",+1 212-569-1600,small laundry in upstate new york
Rattle & Hum Laundry Co.,https://www.google.com/maps/place/Rattle+%26+Hum+Laundry+Co./data=!4m7!3m6!1s0x89c25b8e9d4802d7:0x92f6ea811ce312a5!8m2!3d40.704853!4d-73.9429397!16s%2Fg%2F11fklyxqkp!19sChIJ1wJInY5bwokRpRLjHIHq9pI,https://www.rattlehumlaundry.com/,,,4.1,133,Laundromat,"95 Graham Ave, Brooklyn, NY 11206, United States",+1 718-559-0434,small laundry in upstate new york
Crisp Laundry,https://www.google.com/maps/place/Crisp+Laundry/data=!4m7!3m6!1s0x89c259cfbc9ac6ed:0xff65c4a5a530ae62!8m2!3d40.7441354!4d-73.9807257!16s%2Fg%2F11gy501jhr!19sChIJ7caavM9ZwokRYq4wpaXEZf8,http://www.crisplaundry.com/,,,4.5,39,Laundry,"136 E 31st St, New York, NY 10016, United States",+1 917-733-1504,small laundry in upstate new york
Daily Bubble Laundromat Inc.,https://www.google.com/maps/place/Daily+Bubble+Laundromat+Inc./data=!4m7!3m6!1s0x89c259046593e8a7:0x5856f6a135fe2e6d!8m2!3d40.720596!4d-73.9990023!16s%2Fg%2F11v0qbzydd!19sChIJp-iTZQRZwokRbS7-NaH2Vlg,,No website found,,4.6,19,Laundry service,"176 Lafayette St, New York, NY 10013, United States",+1 212-680-0118,small laundry in upstate new york
Laney's Laundry & Dry Clean,https://www.google.com/maps/place/Laney%27s+Laundry+%26+Dry+Clean/data=!4m7!3m6!1s0x89c2645f576bf855:0xf235701b5b1606c2!8m2!3d40.650635!4d-73.701547!16s%2Fg%2F1thzvqf9!19sChIJVfhrV19kwokRwgYWWxtwNfI,http://www.laneyslaundry.com/,,,4.7,490,Laundromat,"3302, 165 Dubois Ave, Valley Stream, NY 11581, United States",+1 516-887-0470,small laundry in upstate new york
