title,placeUrl,website,status,subtitle,rating,reviewCount,category,address,phoneNumber,searchQuery,email,phoneFromWebsite
Raus nail studio,https://www.google.com/maps/place/Raus+nail+studio/data=!4m7!3m6!1s0x89c25960acb75127:0x71a65993f5388527!8m2!3d40.749936!4d-73.9842368!16s%2Fg%2F11ldsys8_0!19sChIJJ1G3rGBZwokRJ4U49ZNZpnE,http://rausnailstudio.square.site/,Data found,,5.0,76,Nail salon,"390 5th Ave suit 801, New York, NY 10018, United States",+1 917-806-1122,small nail salon in new york city,rausnails.nyc@gmail.com,+19178061122
Morning Ritual nails & spa,https://www.google.com/maps/place/Morning+Ritual+nails+%26+spa/data=!4m7!3m6!1s0x89c2599e5a79c9b7:0x235f98d2d0876214!8m2!3d40.7327872!4d-73.9853215!16s%2Fg%2F11gf0f_9mp!19sChIJt8l5Wp5ZwokRFGKH0NKYXyM,https://www.morningritualnails.com/,Data found,,4.3,176,Nail salon,"241 E 14th St, New York, NY 10003, United States",+1 212-460-9662,small nail salon in new york city,,(212) 460-9662
HORTŪS NEW YORK ~ natural nails & sugaring,https://www.google.com/maps/place/HORT%C5%AAS+NEW+YORK+~+natural+nails+%26+sugaring/data=!4m7!3m6!1s0x89c259846af2e383:0x939329b1a0652ad!8m2!3d40.722911!4d-73.99028!16s%2Fg%2F11b5ytyb9z!19sChIJg-PyaoRZwokRrVIGGpsyOQk,https://www.hortusnewyork.com/,Data found,,4.5,198,Nail salon,"210 Forsyth St, New York, NY 10002, United States",+1 917-475-1558,small nail salon in new york city,8c4075d5481d476e945486754f783364@sentry.io,917.475.1558
WOO Nail & Eyelash,https://www.google.com/maps/place/WOO+Nail+%26+Eyelash/data=!4m7!3m6!1s0x89c25972f6b22a6b:0xa413a3cfd13b5a4f!8m2!3d40.7478407!4d-73.9873823!16s%2Fg%2F11qnc35z6c!19sChIJayqy9nJZwokRT1o70c-jE6Q,http://woonail.com/?utm_source=gmb&utm_medium=referral,Data found,,4.9,160,Nail salon,"38 W 32nd St Suite 1601, New York, NY 10001, United States",+1 646-532-1685,small nail salon in new york city,woonailsnyc@gmail.com,646-532-1685
Manhattan Nails Salon,https://www.google.com/maps/place/Manhattan+Nails+Salon/data=!4m7!3m6!1s0x89c2599ec13766c1:0x7dd28b423e83139c!8m2!3d40.7514895!4d-73.9883528!16s%2Fg%2F11fv4gvs1f!19sChIJwWY3wZ5ZwokRnBODPkKL0n0,https://manhattannailssalon.com/,Data found,,4.3,306,Nail salon,"128 W 36th St. 3rd floor, New York, NY 10018, United States",+1 201-969-7640,small nail salon in new york city,manhattannailssalon@gmail.com,1-201-969-7640
Aya Nail Studio - Flatiron,https://www.google.com/maps/place/Aya+Nail+Studio+-+Flatiron/data=!4m7!3m6!1s0x89c2595b3987fd49:0x25d3ce39779644d4!8m2!3d40.7428849!4d-73.9903913!16s%2Fg%2F11s61w7jn8!19sChIJSf2HOVtZwokR1ESWdznO0yU,https://aya-nail-studio-inc.square.site/,Data found,,4.5,99,Nail salon,"17 W 24th St ground floor, New York, NY 10010, United States",+1 347-986-8441,small nail salon in new york city,hi@mystore.com,+1 347-986-8441
RUSSIAN MANICURE CELEBRITY NAILS,https://www.google.com/maps/place/RUSSIAN+MANICURE+CELEBRITY+NAILS/data=!4m7!3m6!1s0x89c25992deec8851:0x2072aae66a4fd278!8m2!3d40.7521738!4d-73.9864314!16s%2Fg%2F11vrrgg0kt!19sChIJUYjs3pJZwokReNJPauaqciA,https://www.celebritynails.nyc/,Data found,,4.8,37,Nail salon,"1011 6th Ave 2nd floor, New York, NY 10018, United States",+1 347-888-3757,small nail salon in new york city,hi@mystore.com,(347) 888-3757
RUSSIAN MANICURE l Nail studio,https://www.google.com/maps/place/RUSSIAN+MANICURE+l+Nail+studio/data=!4m7!3m6!1s0x47e5a64d860daf95:0x8984bde01b7e4415!8m2!3d40.7515198!4d-73.9846637!16s%2Fg%2F11q8k445nh!19sChIJla8Nhk2m5UcRFUR-G-C9hIk,https://www.instagram.com/russianmanicure_nyc/,No data found,,4.9,200,Nail salon,"40 W 38th St floor 5, New York, NY 10018, United States",+1 929-428-6681,small nail salon in new york city,,
Mani Muse,https://www.google.com/maps/place/Mani+Muse/data=!4m7!3m6!1s0x89c2591a7b5208c9:0xc44ea3a86439b807!8m2!3d40.7510316!4d-73.9861709!16s%2Fg%2F11svlp1cpz!19sChIJyQhSexpZwokRB7g5ZKijTsQ,https://mani-muse.square.site/,Data found,,5.0,16,Nail salon,"65 W 36th St., New York, NY 10018, United States",+1 631-530-3067,small nail salon in new york city,hi@mystore.com,+1 631-530-3067
VIBLiSSIMO Formerly Sakura Nail & Spa,https://www.google.com/maps/place/VIBLiSSIMO+Formerly+Sakura+Nail+%26+Spa/data=!4m7!3m6!1s0x89c259845e290539:0x9d79924a8d48fc95!8m2!3d40.7239215!4d-73.9903259!16s%2Fg%2F1tfw3z1c!19sChIJOQUpXoRZwokRlfxIjUqSeZ0,https://viblissimobeauty.com/,Data found,,4.4,87,Nail salon,"35 E 1st St BSMT E, New York, NY 10003, United States",+1 212-387-9161,small nail salon in new york city,info@viblissimobeauty.com,917-599-6813
Golden Glow Spa,https://www.google.com/maps/place/Golden+Glow+Spa/data=!4m7!3m6!1s0x89c25997d40054cd:0x4fe5f75ac2450429!8m2!3d40.7413466!4d-73.9936774!16s%2Fg%2F11cm0wccz2!19sChIJzVQA1JdZwokRKQRFwlr35U8,https://goldenglowspa.com/,Data found,,4.3,94,Nail salon,"668 6th Ave 2nd Floor, New York, NY 10010, United States",+1 212-202-0577,small nail salon in new york city,,212-202-0577
55 Street UV Nail & Spa,https://www.google.com/maps/place/55+Street+UV+Nail+%26+Spa/data=!4m7!3m6!1s0x89c258e8cb756597:0x10ce07c4708203a9!8m2!3d40.7595575!4d-73.9693938!16s%2Fg%2F11dxbb2qg2!19sChIJl2V1y-hYwokRqQOCcMQHzhA,https://www.uvnailspa.com/,Data found,,4.3,144,Nail salon,"141 E 55th St, New York, NY 10022, United States",+1 646-767-0288,small nail salon in new york city,uvnailspa55street@gmail.com,(646) 767-0288
sundays Nontoxic Nail Studio NoMad,https://www.google.com/maps/place/sundays+Nontoxic+Nail+Studio+NoMad/data=!4m7!3m6!1s0x89c259a6e0630dd5:0xe5894b16a557f92e!8m2!3d40.741963!4d-73.9861542!16s%2Fg%2F11g70hv6_z!19sChIJ1Q1j4KZZwokRLvlXpRZLieU,http://www.dearsundays.com/?utm_source=google&utm_medium=GBP_NOMAD,Data found,,4.2,249,Nail salon,"51 E 25th St, New York, NY 10010, United States",+1 646-998-5711,small nail salon in new york city,wholesale@dearsundays.com,(212) 695-7788
Il Villaggio Nail Spa,https://www.google.com/maps/place/Il+Villaggio+Nail+Spa/data=!4m7!3m6!1s0x89c2598e1eb781ed:0xd042aada0ed32b1b!8m2!3d40.7276401!4d-73.9996524!16s%2Fg%2F1w4vkvk4!19sChIJ7YG3Ho5ZwokRGyvTDtqqQtA,https://www.facebook.com/pages/category/Nail-Salon/Il-Villaggio-Nail-Spa-282542805099596/,No data found,,4.4,181,Nail salon,"502 LaGuardia Pl, New York, NY 10012, United States",+1 212-228-9581,small nail salon in new york city,,
Zara Nails NYC,https://www.google.com/maps/place/Zara+Nails+NYC/data=!4m7!3m6!1s0x89c259087939284b:0x3930d154f90ed68e!8m2!3d40.7527077!4d-73.9863856!16s%2Fg%2F11sq32m1sx!19sChIJSyg5eQhZwokRjtYO-VTRMDk,http://zaranails.com/,Data found,,4.6,65,Nail salon,"109 W 38th St 9th Floor Suite 902, New York, NY 10018, United States",+1 646-490-2323,small nail salon in new york city,zaranailsnyc@gmail.com,(646) 490-2323
Eva's Nails & Spa,https://www.google.com/maps/place/Eva%27s+Nails+%26+Spa/data=!4m7!3m6!1s0x89c258e212cf67d3:0x7de58f50d6bb4569!8m2!3d40.7535152!4d-73.9667976!16s%2Fg%2F11b8070xvk!19sChIJ02fPEuJYwokRaUW71lCP5X0,,No website found,,4.5,134,Nail salon,"883 1st Ave. #3, New York, NY 10022, United States",+1 212-588-9666,small nail salon in new york city,,
Luna Nails,https://www.google.com/maps/place/Luna+Nails/data=!4m7!3m6!1s0x89c259555078d58b:0xff16bddc948a581f!8m2!3d40.7508732!4d-73.9839671!16s%2Fg%2F11vz69vpls!19sChIJi9V4UFVZwokRH1iKlNy9Fv8,,No website found,,4.9,42,Nail salon,"5 W 37th St STE 718, New York, NY 10018, United States",+1 917-657-4359,small nail salon in new york city,,
QQ Nails & Spa,https://www.google.com/maps/place/QQ+Nails+%26+Spa/data=!4m7!3m6!1s0x89c2599412c85d3f:0x776952f4c338d978!8m2!3d40.7334538!4d-74.0031626!16s%2Fg%2F1tfk5brk!19sChIJP13IEpRZwokReNk4w_RSaXc,http://qqnailspa.com/,Data found,,4.7,643,Nail salon,"108 7th Ave S, New York, NY 10014, United States",+1 212-924-0782,small nail salon in new york city,info@qqnailspa.com,1(516) 226-3631
Miss Bliss Nail & Spa,https://www.google.com/maps/place/Miss+Bliss+Nail+%26+Spa/data=!4m7!3m6!1s0x89c259da7dc558d3:0x2530dffa722c78b7!8m2!3d40.7546523!4d-73.9949195!16s%2Fg%2F11j4q24nrw!19sChIJ01jFfdpZwokRt3gscvrfMCU,https://missbliss365.com/,Data found,,4.1,133,Nail salon,"365 W 36th St., New York, NY 10018, United States",+1 212-967-8880,small nail salon in new york city,missblissnailandspa@gmail.com,212-967-8880
Art Nail NYC,https://www.google.com/maps/place/Art+Nail+NYC/data=!4m7!3m6!1s0x89c2598f7f89bc5b:0x7eb18db8cffd07e6!8m2!3d40.7357191!4d-73.9945993!16s%2Fg%2F11f5q5xg8q!19sChIJW7yJf49ZwokR5gf9z7iNsX4,http://artnailnyc.com/,Data found,,3.9,36,Nail salon,"3 W 13th St 2nd floor, New York, NY 10011, United States",+1 917-624-9952,small nail salon in new york city,,(917) 983-0491
Spring Nail Beauty Spa,https://www.google.com/maps/place/Spring+Nail+Beauty+Spa/data=!4m7!3m6!1s0x89c259be09caf387:0x8872cbcac74e32fe!8m2!3d40.7387163!4d-74.000651!16s%2Fg%2F1thksm58!19sChIJh_PKCb5ZwokR_jJOx8rLcog,https://www.springnailnyc.com/,Data found,,4.0,241,Nail salon,"210 W 14th St A, New York, NY 10011, United States",+1 212-858-3555,small nail salon in new york city,jianlin2004@gmail.com,(212)858-3555
Soho Nails,https://www.google.com/maps/place/Soho+Nails/data=!4m7!3m6!1s0x89c2598dd88b976d:0xc7d9c9c8b8ea074e!8m2!3d40.7263!4d-74.000769!16s%2Fg%2F1tdph3cp!19sChIJbZeL2I1ZwokRTgfquMjJ2cc,http://sohonailsny.com/,Data found,,4.1,194,Nail salon,"458 W Broadway # 3, New York, NY 10012, United States",+1 212-475-6368,small nail salon in new york city,,(212) 475-6368
Top A Nail,https://www.google.com/maps/place/Top+A+Nail/data=!4m7!3m6!1s0x89c25977d42e5349:0x9a1751c6ebc50276!8m2!3d40.7271409!4d-73.9829089!16s%2Fg%2F1thpxrf_!19sChIJSVMu1HdZwokRdgLF68ZRF5o,,No website found,,4.1,149,Nail salon,"139 Avenue A, New York, NY 10009, United States",+1 212-475-5678,small nail salon in new york city,,
Elegant Nails & Spa (Greenwich),https://www.google.com/maps/place/Elegant+Nails+%26+Spa+%28Greenwich%29/data=!4m7!3m6!1s0x89c2599155166019:0xf6c81844387aa781!8m2!3d40.7327649!4d-74.000422!16s%2Fg%2F11c4xxtlkh!19sChIJGWAWVZFZwokRgad6OEQYyPY,https://www.elegantnailsnyc.com/,Data found,,4.3,328,Nail salon,"373 6th Ave, New York, NY 10014, United States",+1 212-206-0688,small nail salon in new york city,,212.206.0688
10 Piece Nails,https://www.google.com/maps/place/10+Piece+Nails/data=!4m7!3m6!1s0x89c2599a62bf7b33:0xa007d5457c6d25d8!8m2!3d40.7218926!4d-73.9885958!16s%2Fg%2F11rcrgzz33!19sChIJM3u_YppZwokR2CVtfEXVB6A,http://www.10piecenails.com/,Data found,,4.9,44,Nail salon,"179 Orchard St, New York, NY 10002, United States",+1 646-791-0000,small nail salon in new york city,info@10piecenails.com,646-791-0000
A6 Nail - SoHo,https://www.google.com/maps/place/A6+Nail+-+SoHo/data=!4m7!3m6!1s0x89c2598ddb1a5d83:0x6a1364ad382a02a6!8m2!3d40.7264!4d-74.001268!16s%2Fg%2F11f3n5_gtl!19sChIJg10a241ZwokRpgIqOK1kE2o,http://a6nail.com/,Data found,,4.1,103,Nail salon,"128 Thompson St, New York, NY 10012, United States",+1 646-398-9110,small nail salon in new york city,98b21aa53d68482b8414e892d9af0e5f@sentry-next.wixpress.com,(646)398-9110
Enail,https://www.google.com/maps/place/Enail/data=!4m7!3m6!1s0x89c259a81fcf51b5:0xc26d6ce5cc0473a9!8m2!3d40.7463436!4d-73.9830697!16s%2Fg%2F11g8v5l317!19sChIJtVHPH6hZwokRqXMEzOVsbcI,https://beautyspa888.wixsite.com/enail/enail32ndst,Data found,,4.0,287,Nail salon,"35 E 32nd St, New York, NY 10016, United States",+1 212-683-3399,small nail salon in new york city,8c4075d5481d476e945486754f783364@sentry.io,212-683-3399
Sweety Salon NYC,https://www.google.com/maps/place/Sweety+Salon+NYC/data=!4m7!3m6!1s0x89c259853f348db5:0xde41fd5c13c339a7!8m2!3d40.7481614!4d-73.9872958!16s%2Fg%2F11f7jl14kl!19sChIJtY00P4VZwokRpznDE1z9Qd4,http://www.vagaro.com/sweetysalon,Data found,,4.2,54,Nail salon,"39 W 32nd St #902, New York, NY 10001, United States",+1 347-978-1003,small nail salon in new york city,,(347) 978-1003
One Nail Studio,https://www.google.com/maps/place/One+Nail+Studio/data=!4m7!3m6!1s0x89c259b407afb68f:0x689861d039cfa66e!8m2!3d40.7465424!4d-73.9882026!16s%2Fg%2F11t4_mcpz5!19sChIJj7avB7RZwokRbqbPOdBhmGg,https://www.onenailnyc.com/,Data found,,4.4,82,Nail salon,"38A W 30th St, New York, NY 10001, United States",+1 347-975-4232,small nail salon in new york city,onenailnyc@gmail.com,(347)975-4232
JN Nail Bar,https://www.google.com/maps/place/JN+Nail+Bar/data=!4m7!3m6!1s0x89c259082cb2ce75:0x9afc5ba2ad41febe!8m2!3d40.7476127!4d-73.9871695!16s%2Fg%2F11gm7znv0k!19sChIJdc6yLAhZwokRvv5BraJb_Jo,https://jnnailbarnyc.com/,Data found,,4.2,119,Nail salon,"30 W 32nd St floor 5, New York, NY 10001, United States",+1 212-695-5314,small nail salon in new york city,phanainiem87@gmail.com,212-695-5314
Xcellent Nail Salon,https://www.google.com/maps/place/Xcellent+Nail+Salon/data=!4m7!3m6!1s0x89c259f46f9b6be3:0xaa1e903f52b203b3!8m2!3d40.7413466!4d-73.9936774!16s%2Fg%2F11spv34v2f!19sChIJ42ubb_RZwokRswOyUj-QHqo,https://xcellentnailsalon.com/,Data found,,5.0,19,Nail salon,"668 6th Ave 2nd Fl, New York, NY 10010, United States",+1 212-202-0577,small nail salon in new york city,,212-202-0577
Meow Meow Nail,https://www.google.com/maps/place/Meow+Meow+Nail/data=!4m7!3m6!1s0x89c259a5df41a24b:0x78efdf62d8bef26b!8m2!3d40.7243043!4d-74.0083746!16s%2Fg%2F11w45wscz3!19sChIJS6JB36VZwokRa_K-2GLf73g,http://meowmeownail.square.site/,Data found,,5.0,10,Nail salon,"499 Canal St, New York, NY 10013, United States",+1 332-222-8828,small nail salon in new york city,hi@mystore.com,+1 332-222-8828
Kettykiss Nail Studio,https://www.google.com/maps/place/Kettykiss+Nail+Studio/data=!4m7!3m6!1s0x89c25900764259b9:0xd0e64ef754cbcc2b!8m2!3d40.7325525!4d-73.9937979!16s%2Fg%2F11y3w95cxh!19sChIJuVlCdgBZwokRK8zLVPdO5tA,http://www.kettykiss.com/,Data found,,4.9,10,Nail salon,"51 University Pl, New York, NY 10003, United States",+1 212-780-0999,small nail salon in new york city,service@kettykiss.com,
Y&D Nail Spa,https://www.google.com/maps/place/Y%26D+Nail+Spa/data=!4m7!3m6!1s0x89c259083d05c40d:0x1fab0ea260fc24d0!8m2!3d40.7323378!4d-73.9854291!16s%2Fg%2F11srsqlq7l!19sChIJDcQFPQhZwokR0CT8YKIOqx8,https://www.ydnailspa.com/,Data found,,4.6,164,Nail salon,"248 E 14th St, New York, NY 10003, United States",+1 646-883-9663,small nail salon in new york city,248y.dnailspa@gmail.com,(646) 883-9663
Oasis Nail Inc,https://www.google.com/maps/place/Oasis+Nail+Inc/data=!4m7!3m6!1s0x89c259ecaa4c4a8b:0x8cba9aa3418e2ce5!8m2!3d40.7335909!4d-74.0065622!16s%2Fg%2F1ts3gjpr!19sChIJi0pMquxZwokR5SyOQaOauow,,No website found,,4.2,81,Nail salon,"254 W 10th St, New York, NY 10014, United States",+1 212-242-8866,small nail salon in new york city,,
Chelsea Nails,https://www.google.com/maps/place/Chelsea+Nails/data=!4m7!3m6!1s0x89c259a4950f3779:0x9349c2d59e898e9!8m2!3d40.742853!4d-73.993179!16s%2Fg%2F1tw1frfw!19sChIJeTcPlaRZwokR6ZjoWS2cNAk,https://www.chelseanailsnyc.com/,Data found,,3.9,164,Nail salon,"100 W 23rd St #2, New York, NY 10011, United States",+1 212-924-6245,small nail salon in new york city,,(212) 924-6245
"Angel Nail Studio NY (6th Ave & 7th Ave Between, Close to the Chase Bank)","https://www.google.com/maps/place/Angel+Nail+Studio+NY+%286th+Ave+%26+7th+Ave+Between,+Close+to+the+Chase+Bank%29/data=!4m7!3m6!1s0x89c259a55dcb7f25:0xdf1bd9d36a254d23!8m2!3d40.7465205!4d-73.9929715!16s%2Fg%2F1vqmk8p2!19sChIJJX_LXaVZwokRI00latPZG98",,No website found,,3.9,77,Nail salon,"153 W 27th St, New York, NY 10001, United States",+1 212-255-9890,small nail salon in new york city,,
230 Pink Blossom Nail & Spa,https://www.google.com/maps/place/230+Pink+Blossom+Nail+%26+Spa/data=!4m7!3m6!1s0x89c25902d9aba0dd:0x72a4aef08da1425!8m2!3d40.7513787!4d-73.9721932!16s%2Fg%2F1ptvwqy40!19sChIJ3aCr2QJZwokRJRTaCO9KKgc,http://www.pinkblossomnyc.com/,Data found,,4.1,144,Nail salon,"230 E 44th St, New York, NY 10017, United States",+1 212-338-0090,small nail salon in new york city,,212-338-0090
Stylish Ten Nail & Spa,https://www.google.com/maps/place/Stylish+Ten+Nail+%26+Spa/data=!4m7!3m6!1s0x89c25851ea5c1ded:0xc10578e420f70f2d!8m2!3d40.7626687!4d-73.9936147!16s%2Fg%2F1tdhmr0k!19sChIJ7R1c6lFYwokRLQ_3IOR4BcE,https://www.stylishten.com/,Data found,,4.1,161,Nail salon,"661 10th Ave, New York, NY 10036, United States",+1 212-765-1818,small nail salon in new york city,lixi36365@gmail.com,(929) 308-8142
N Square Nail Salon,https://www.google.com/maps/place/N+Square+Nail+Salon/data=!4m7!3m6!1s0x89c2595461a90fc9:0x86fca1e456cf9a27!8m2!3d40.7444912!4d-73.9929482!16s%2Fg%2F11fhtl_1p7!19sChIJyQ-pYVRZwokRJ5rPVuSh_IY,https://www.n2nailny.com/,No data found,,4.1,121,Nail salon,"122 W 25th St, New York, NY 10001, United States",+1 917-388-2360,small nail salon in new york city,,
Oh My Nails!,https://www.google.com/maps/place/Oh+My+Nails!/data=!4m7!3m6!1s0x89c2599d40d89db9:0xdab1d500e81e44a9!8m2!3d40.728255!4d-73.9829341!16s%2Fg%2F1262c96w8!19sChIJuZ3YQJ1ZwokRqUQe6ADVsdo,https://ohmynails.com/,Data found,,4.1,87,Nail salon,"273 E 10th St, New York, NY 10009, United States",+1 646-590-4700,small nail salon in new york city,,646-590-4700
Mia Amour Nail & Spa,https://www.google.com/maps/place/Mia+Amour+Nail+%26+Spa/data=!4m7!3m6!1s0x89c2597b31de2563:0xd1e50edb0eeb1115!8m2!3d40.7333993!4d-74.0051144!16s%2Fg%2F11mvv84660!19sChIJYyXeMXtZwokRFRHrDtsO5dE,https://www.miaamournailandspa.com/,Data found,,4.7,93,Nail salon,"107 Christopher St, New York, NY 10014, United States",+1 917-261-2168,small nail salon in new york city,,(917) 261-2168
Himalayan Nails & Spa,https://www.google.com/maps/place/Himalayan+Nails+%26+Spa/data=!4m7!3m6!1s0x89c259b26f0f7e61:0x1a0b064a9f5bc60d!8m2!3d40.7616735!4d-73.9908508!16s%2Fg%2F11rj_vzj5t!19sChIJYX4Pb7JZwokRDcZbn0oGCxo,,No website found,,4.3,295,Nail salon,"404 W 47th St, New York, NY 10036, United States",+1 212-256-1065,small nail salon in new york city,,
Dashing Diva Chelsea,https://www.google.com/maps/place/Dashing+Diva+Chelsea/data=!4m7!3m6!1s0x89c259b919f433ab:0x9a4e1a6b4a3f9fd8!8m2!3d40.74515!4d-74.002586!16s%2Fg%2F1trpm3d0!19sChIJqzP0GblZwokR2J8_SmsaTpo,https://www.dashingdivachelsea.com/,No data found,,4.1,84,Nail salon,"177 9th Ave, New York, NY 10011, United States",+1 212-620-0200,small nail salon in new york city,,
Nail Bella,https://www.google.com/maps/place/Nail+Bella/data=!4m7!3m6!1s0x89c25856c6e2012b:0x4cb54ce34effa41!8m2!3d40.7621096!4d-73.987938!16s%2Fg%2F1th24qk5!19sChIJKwHixlZYwokRQfrvNM5UywQ,,No website found,,3.8,120,Nail salon,"322 W 49th St #2, New York, NY 10019, United States",+1 212-247-7723,small nail salon in new york city,,
RUSSIAN MANICURE ZORI NAILS,https://www.google.com/maps/place/RUSSIAN+MANICURE+ZORI+NAILS/data=!4m7!3m6!1s0x89c259c0d20cfd63:0xeaf44baa1d16c23f!8m2!3d40.7470218!4d-73.9854495!16s%2Fg%2F11v3m2jfz3!19sChIJY_0M0sBZwokRP8IWHapL9Oo,https://www.zorinails.com/,Data found,,4.6,93,Nail salon,"315 5th Ave #505, New York, NY 10016, United States",+1 929-245-5640,small nail salon in new york city,hi@mystore.com,+1 929-245-5640
Breeze Nail & Spa,https://www.google.com/maps/place/Breeze+Nail+%26+Spa/data=!4m7!3m6!1s0x89c25984b0218285:0x30fad716e3c12143!8m2!3d40.725818!4d-73.989428!16s%2Fg%2F11b6gny8b0!19sChIJhYIhsIRZwokRQyHB4xbX-jA,http://breezenailspa.com/,Data found,,4.1,78,Nail salon,"62 2nd Ave, New York, NY 10003, United States",+1 212-388-0921,small nail salon in new york city,,(212) 388-0921
